;Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;BoxScore;OT;Attend.;Notes;Y-M
843;Wed, Mar 1, 2006;7:00p;Atlanta Hawks;113;Toronto Raptors;111;Box Score;OT;15,137;;[2006, 3]
844;Wed, Mar 1, 2006;7:00p;Indiana Pacers;99;Washington Wizards;93;Box Score;;13,411;;[2006, 3]
845;Wed, Mar 1, 2006;7:30p;Miami Heat;103;Boston Celtics;96;Box Score;;18,624;;[2006, 3]
846;Wed, Mar 1, 2006;8:00p;New York Knicks;99;Memphis Grizzlies;101;Box Score;;14,678;;[2006, 3]
847;Wed, Mar 1, 2006;8:00p;Brooklyn Nets;90;Minnesota Timberwolves;100;Box Score;;15,369;;[2006, 3]
848;Wed, Mar 1, 2006;9:00p;Detroit Pistons;87;Denver Nuggets;98;Box Score;;19,099;;[2006, 3]
849;Wed, Mar 1, 2006;9:00p;Philadelphia 76ers;106;Houston Rockets;101;Box Score;;15,027;;[2006, 3]
850;Wed, Mar 1, 2006;9:00p;Milwaukee Bucks;110;Phoenix Suns;123;Box Score;;17,701;;[2006, 3]
851;Wed, Mar 1, 2006;9:00p;Charlotte Hornets;104;Utah Jazz;89;Box Score;;18,177;;[2006, 3]
852;Wed, Mar 1, 2006;10:00p;Los Angeles Lakers;93;Portland Trail Blazers;99;Box Score;;19,454;;[2006, 3]
853;Wed, Mar 1, 2006;10:30p;Orlando Magic;94;Golden State Warriors;98;Box Score;;17,064;;[2006, 3]
854;Wed, Mar 1, 2006;10:30p;New Orleans Pelicans;67;LA Clippers;89;Box Score;;16,157;;[2006, 3]
855;Thu, Mar 2, 2006;7:00p;Cleveland Cavaliers;92;Chicago Bulls;91;Box Score;;20,726;;[2006, 3]
856;Thu, Mar 2, 2006;9:30p;Dallas Mavericks;89;San Antonio Spurs;98;Box Score;;18,797;;[2006, 3]
857;Fri, Mar 3, 2006;7:00p;Sacramento Kings;102;Atlanta Hawks;93;Box Score;;15,2;;[2006, 3]
858;Fri, Mar 3, 2006;7:30p;Indiana Pacers;98;Boston Celtics;99;Box Score;;18,624;;[2006, 3]
859;Fri, Mar 3, 2006;7:30p;Chicago Bulls;108;New York Knicks;101;Box Score;;19,763;;[2006, 3]
860;Fri, Mar 3, 2006;7:30p;Washington Wizards;113;Philadelphia 76ers;119;Box Score;;14,832;;[2006, 3]
861;Fri, Mar 3, 2006;8:30p;Charlotte Hornets;76;Dallas Mavericks;90;Box Score;;20,075;;[2006, 3]
862;Fri, Mar 3, 2006;8:30p;Denver Nuggets;78;Houston Rockets;89;Box Score;;14,727;;[2006, 3]
863;Fri, Mar 3, 2006;9:00p;Orlando Magic;118;Phoenix Suns;123;Box Score;;18,422;;[2006, 3]
864;Fri, Mar 3, 2006;10:00p;LA Clippers;103;Utah Jazz;105;Box Score;;19,911;;[2006, 3]
865;Fri, Mar 3, 2006;10:30p;Los Angeles Lakers;106;Golden State Warriors;94;Box Score;;20,375;;[2006, 3]
866;Fri, Mar 3, 2006;10:30p;Detroit Pistons;98;Oklahoma City Thunder;96;Box Score;;17,072;;[2006, 3]
867;Sat, Mar 4, 2006;1:00p;Toronto Raptors;100;Brooklyn Nets;105;Box Score;OT;16,215;;[2006, 3]
868;Sat, Mar 4, 2006;7:30p;Atlanta Hawks;93;Miami Heat;95;Box Score;;20,023;;[2006, 3]
869;Sat, Mar 4, 2006;8:30p;New York Knicks;103;Milwaukee Bucks;98;Box Score;;17,936;;[2006, 3]
870;Sat, Mar 4, 2006;8:30p;Portland Trail Blazers;81;San Antonio Spurs;101;Box Score;;18,797;;[2006, 3]
871;Sat, Mar 4, 2006;9:00p;Orlando Magic;94;Denver Nuggets;110;Box Score;;19,509;;[2006, 3]
872;Sat, Mar 4, 2006;10:30p;Detroit Pistons;94;Los Angeles Lakers;105;Box Score;;18,997;;[2006, 3]
873;Sun, Mar 5, 2006;1:00p;Indiana Pacers;94;Philadelphia 76ers;93;Box Score;;20,177;;[2006, 3]
874;Sun, Mar 5, 2006;1:00p;Sacramento Kings;107;Washington Wizards;117;Box Score;;19,612;;[2006, 3]
875;Sun, Mar 5, 2006;3:30p;Phoenix Suns;115;Dallas Mavericks;107;Box Score;;20,34;;[2006, 3]
876;Sun, Mar 5, 2006;3:30p;Golden State Warriors;90;Minnesota Timberwolves;103;Box Score;;15,797;;[2006, 3]
877;Sun, Mar 5, 2006;6:00p;Boston Celtics;105;Toronto Raptors;111;Box Score;;16,623;;[2006, 3]
878;Sun, Mar 5, 2006;7:30p;Chicago Bulls;72;Cleveland Cavaliers;91;Box Score;;20,562;;[2006, 3]
879;Sun, Mar 5, 2006;8:30p;Portland Trail Blazers;84;Houston Rockets;102;Box Score;;14,046;;[2006, 3]
880;Sun, Mar 5, 2006;9:00p;Memphis Grizzlies;102;LA Clippers;86;Box Score;;16,796;;[2006, 3]
881;Sun, Mar 5, 2006;9:00p;Utah Jazz;81;Oklahoma City Thunder;113;Box Score;;15,493;;[2006, 3]
882;Mon, Mar 6, 2006;7:30p;Miami Heat;106;Charlotte Hornets;105;Box Score;OT;17,165;;[2006, 3]
883;Mon, Mar 6, 2006;7:30p;Sacramento Kings;109;Brooklyn Nets;84;Box Score;;15,749;;[2006, 3]
884;Mon, Mar 6, 2006;8:00p;Phoenix Suns;101;New Orleans Pelicans;88;Box Score;;19,207;;[2006, 3]
885;Mon, Mar 6, 2006;9:00p;Memphis Grizzlies;101;Denver Nuggets;115;Box Score;;15,242;;[2006, 3]
886;Mon, Mar 6, 2006;9:00p;Orlando Magic;85;Utah Jazz;90;Box Score;;17,272;;[2006, 3]
887;Mon, Mar 6, 2006;10:30p;San Antonio Spurs;103;Los Angeles Lakers;96;Box Score;;18,997;;[2006, 3]
888;Tue, Mar 7, 2006;7:00p;Golden State Warriors;106;Atlanta Hawks;113;Box Score;;13,569;;[2006, 3]
889;Tue, Mar 7, 2006;7:00p;Toronto Raptors;99;Cleveland Cavaliers;106;Box Score;;18,077;;[2006, 3]
890;Tue, Mar 7, 2006;7:00p;New York Knicks;107;Indiana Pacers;92;Box Score;;14,801;;[2006, 3]
891;Tue, Mar 7, 2006;7:00p;Boston Celtics;116;Washington Wizards;115;Box Score;OT;14,25;;[2006, 3]
892;Tue, Mar 7, 2006;8:00p;Houston Rockets;93;Minnesota Timberwolves;87;Box Score;;16,588;;[2006, 3]
893;Tue, Mar 7, 2006;8:30p;Brooklyn Nets;87;Chicago Bulls;95;Box Score;;20,837;;[2006, 3]
894;Tue, Mar 7, 2006;8:30p;Portland Trail Blazers;87;Dallas Mavericks;93;Box Score;;20,216;;[2006, 3]
895;Tue, Mar 7, 2006;10:30p;San Antonio Spurs;85;LA Clippers;98;Box Score;;18,409;;[2006, 3]
896;Wed, Mar 8, 2006;7:00p;Cleveland Cavaliers;98;Toronto Raptors;97;Box Score;;19,8;;[2006, 3]
897;Wed, Mar 8, 2006;7:30p;Philadelphia 76ers;101;Boston Celtics;104;Box Score;;18,624;;[2006, 3]
898;Wed, Mar 8, 2006;7:30p;Golden State Warriors;101;Charlotte Hornets;104;Box Score;;14,039;;[2006, 3]
899;Wed, Mar 8, 2006;7:30p;Chicago Bulls;101;Detroit Pistons;106;Box Score;;22,076;;[2006, 3]
900;Wed, Mar 8, 2006;7:30p;Washington Wizards;112;Miami Heat;118;Box Score;;19,6;;[2006, 3]
901;Wed, Mar 8, 2006;8:00p;Sacramento Kings;123;Milwaukee Bucks;116;Box Score;;14,024;;[2006, 3]
902;Wed, Mar 8, 2006;8:00p;Los Angeles Lakers;113;New Orleans Pelicans;107;Box Score;;17,744;at New Orleans, LA;[2006, 3]
903;Wed, Mar 8, 2006;8:30p;Indiana Pacers;99;Houston Rockets;103;Box Score;;13,098;;[2006, 3]
904;Wed, Mar 8, 2006;9:00p;Minnesota Timberwolves;93;Utah Jazz;96;Box Score;;17,49;;[2006, 3]
905;Wed, Mar 8, 2006;10:00p;Memphis Grizzlies;99;Oklahoma City Thunder;74;Box Score;;15,521;;[2006, 3]
906;Thu, Mar 9, 2006;8:00p;Denver Nuggets;97;Philadelphia 76ers;93;Box Score;;18,194;;[2006, 3]
907;Thu, Mar 9, 2006;10:00p;Dallas Mavericks;109;Portland Trail Blazers;92;Box Score;;15,433;;[2006, 3]
908;Thu, Mar 9, 2006;10:30p;San Antonio Spurs;117;Phoenix Suns;93;Box Score;;18,422;;[2006, 3]
909;Fri, Mar 10, 2006;7:00p;Cleveland Cavaliers;73;Orlando Magic;102;Box Score;;17,283;;[2006, 3]
910;Fri, Mar 10, 2006;7:00p;Denver Nuggets;108;Toronto Raptors;97;Box Score;;17,806;;[2006, 3]
911;Fri, Mar 10, 2006;7:30p;Milwaukee Bucks;92;Boston Celtics;86;Box Score;;18,624;;[2006, 3]
912;Fri, Mar 10, 2006;7:30p;Golden State Warriors;111;Miami Heat;106;Box Score;;19,6;;[2006, 3]
913;Fri, Mar 10, 2006;8:00p;Indiana Pacers;92;New Orleans Pelicans;90;Box Score;;18,506;;[2006, 3]
914;Fri, Mar 10, 2006;8:30p;LA Clippers;107;Chicago Bulls;96;Box Score;;21,975;;[2006, 3]
915;Fri, Mar 10, 2006;8:30p;Los Angeles Lakers;100;San Antonio Spurs;92;Box Score;;18,797;;[2006, 3]
916;Fri, Mar 10, 2006;10:00p;Memphis Grizzlies;93;Sacramento Kings;105;Box Score;;17,317;;[2006, 3]
917;Fri, Mar 10, 2006;10:30p;Minnesota Timberwolves;96;Oklahoma City Thunder;107;Box Score;;16,713;;[2006, 3]
918;Sat, Mar 11, 2006;7:00p;Chicago Bulls;95;Atlanta Hawks;90;Box Score;;15,301;;[2006, 3]
919;Sat, Mar 11, 2006;7:00p;Golden State Warriors;92;Orlando Magic;103;Box Score;;15,102;;[2006, 3]
920;Sat, Mar 11, 2006;7:00p;Detroit Pistons;92;Washington Wizards;110;Box Score;;20,173;;[2006, 3]
921;Sat, Mar 11, 2006;7:30p;New York Knicks;109;Charlotte Hornets;116;Box Score;;19,026;;[2006, 3]
922;Sat, Mar 11, 2006;8:30p;LA Clippers;106;Milwaukee Bucks;98;Box Score;;18,482;;[2006, 3]
923;Sat, Mar 11, 2006;9:00p;Minnesota Timberwolves;102;Phoenix Suns;110;Box Score;;18,422;;[2006, 3]
924;Sat, Mar 11, 2006;9:00p;Dallas Mavericks;90;Utah Jazz;87;Box Score;;19,79;;[2006, 3]
925;Sun, Mar 12, 2006;1:00p;Cleveland Cavaliers;92;Miami Heat;98;Box Score;;20,268;;[2006, 3]
926;Sun, Mar 12, 2006;3:30p;Oklahoma City Thunder;120;Los Angeles Lakers;113;Box Score;;18,997;;[2006, 3]
927;Sun, Mar 12, 2006;3:30p;Houston Rockets;81;San Antonio Spurs;88;Box Score;;18,797;;[2006, 3]
928;Sun, Mar 12, 2006;4:00p;Philadelphia 76ers;94;Memphis Grizzlies;91;Box Score;;17,776;;[2006, 3]
929;Sun, Mar 12, 2006;6:00p;Denver Nuggets;101;Boston Celtics;106;Box Score;;18,624;;[2006, 3]
930;Sun, Mar 12, 2006;6:00p;Charlotte Hornets;78;Detroit Pistons;94;Box Score;;22,076;;[2006, 3]
931;Sun, Mar 12, 2006;6:00p;Indiana Pacers;89;Toronto Raptors;93;Box Score;;17,573;;[2006, 3]
932;Sun, Mar 12, 2006;7:00p;Brooklyn Nets;95;New Orleans Pelicans;84;Box Score;;19,198;;[2006, 3]
933;Sun, Mar 12, 2006;9:00p;Phoenix Suns;101;Portland Trail Blazers;111;Box Score;;18,896;;[2006, 3]
934;Sun, Mar 12, 2006;9:00p;Dallas Mavericks;80;Sacramento Kings;85;Box Score;;17,317;;[2006, 3]
935;Mon, Mar 13, 2006;7:00p;Orlando Magic;83;Indiana Pacers;97;Box Score;;14,109;;[2006, 3]
936;Mon, Mar 13, 2006;7:30p;Denver Nuggets;108;New York Knicks;96;Box Score;;19,763;;[2006, 3]
937;Mon, Mar 13, 2006;8:00p;Atlanta Hawks;87;Milwaukee Bucks;88;Box Score;;13,189;;[2006, 3]
938;Mon, Mar 13, 2006;8:30p;Brooklyn Nets;90;Houston Rockets;77;Box Score;;16,047;;[2006, 3]
939;Mon, Mar 13, 2006;10:30p;Minnesota Timberwolves;87;LA Clippers;95;Box Score;;17,258;;[2006, 3]
940;Tue, Mar 14, 2006;7:00p;Toronto Raptors;111;Philadelphia 76ers;97;Box Score;;14,917;;[2006, 3]
941;Tue, Mar 14, 2006;7:30p;Washington Wizards;119;Charlotte Hornets;114;Box Score;;13,721;;[2006, 3]
942;Tue, Mar 14, 2006;7:30p;Utah Jazz;83;Miami Heat;121;Box Score;;19,6;;[2006, 3]
943;Tue, Mar 14, 2006;8:00p;Boston Celtics;76;Memphis Grizzlies;93;Box Score;;14,271;;[2006, 3]
944;Tue, Mar 14, 2006;8:30p;Portland Trail Blazers;66;Chicago Bulls;95;Box Score;;20,604;;[2006, 3]
945;Tue, Mar 14, 2006;8:30p;Cleveland Cavaliers;87;Dallas Mavericks;91;Box Score;;20,425;;[2006, 3]
946;Tue, Mar 14, 2006;8:30p;New Orleans Pelicans;81;San Antonio Spurs;96;Box Score;;18,797;;[2006, 3]
947;Tue, Mar 14, 2006;10:00p;Los Angeles Lakers;98;Sacramento Kings;114;Box Score;;17,317;;[2006, 3]
948;Tue, Mar 14, 2006;10:00p;Phoenix Suns;129;Oklahoma City Thunder;120;Box Score;;16,841;;[2006, 3]
949;Wed, Mar 15, 2006;7:00p;Denver Nuggets;101;Indiana Pacers;99;Box Score;;14,826;;[2006, 3]
950;Wed, Mar 15, 2006;7:00p;Utah Jazz;108;Orlando Magic;114;Box Score;OT;15,693;;[2006, 3]
951;Wed, Mar 15, 2006;7:00p;Detroit Pistons;105;Toronto Raptors;98;Box Score;;19,8;;[2006, 3]
952;Wed, Mar 15, 2006;7:00p;Charlotte Hornets;99;Washington Wizards;107;Box Score;;13,841;;[2006, 3]
953;Wed, Mar 15, 2006;7:30p;Portland Trail Blazers;65;Brooklyn Nets;78;Box Score;;16,115;;[2006, 3]
954;Wed, Mar 15, 2006;7:30p;Atlanta Hawks;117;New York Knicks;121;Box Score;2OT;18,902;;[2006, 3]
955;Wed, Mar 15, 2006;8:00p;Chicago Bulls;88;Milwaukee Bucks;104;Box Score;;14,879;;[2006, 3]
956;Wed, Mar 15, 2006;9:00p;Dallas Mavericks;95;Houston Rockets;81;Box Score;;18,222;;[2006, 3]
957;Wed, Mar 15, 2006;9:00p;LA Clippers;95;Phoenix Suns;126;Box Score;;18,422;;[2006, 3]
958;Wed, Mar 15, 2006;10:30p;Minnesota Timberwolves;89;Los Angeles Lakers;92;Box Score;;18,997;;[2006, 3]
959;Thu, Mar 16, 2006;8:00p;Boston Celtics;104;Miami Heat;107;Box Score;;20,188;;[2006, 3]
960;Thu, Mar 16, 2006;10:00p;Philadelphia 76ers;98;Oklahoma City Thunder;102;Box Score;;16,781;;[2006, 3]
961;Thu, Mar 16, 2006;10:30p;Minnesota Timberwolves;97;Golden State Warriors;105;Box Score;;17,526;;[2006, 3]
962;Fri, Mar 17, 2006;7:00p;Utah Jazz;111;Atlanta Hawks;101;Box Score;;17,442;;[2006, 3]
963;Fri, Mar 17, 2006;7:00p;Sacramento Kings;93;Indiana Pacers;98;Box Score;;18,345;;[2006, 3]
964;Fri, Mar 17, 2006;7:00p;Boston Celtics;77;Orlando Magic;84;Box Score;;15,702;;[2006, 3]
965;Fri, Mar 17, 2006;7:00p;Milwaukee Bucks;96;Toronto Raptors;97;Box Score;;17,273;;[2006, 3]
966;Fri, Mar 17, 2006;7:00p;Dallas Mavericks;104;Washington Wizards;94;Box Score;;18,954;;[2006, 3]
967;Fri, Mar 17, 2006;7:30p;Portland Trail Blazers;84;Cleveland Cavaliers;99;Box Score;;20,562;;[2006, 3]
968;Fri, Mar 17, 2006;7:30p;Los Angeles Lakers;89;Brooklyn Nets;92;Box Score;;20,098;;[2006, 3]
969;Fri, Mar 17, 2006;7:30p;Detroit Pistons;103;New York Knicks;105;Box Score;;19,763;;[2006, 3]
970;Fri, Mar 17, 2006;8:00p;Denver Nuggets;102;Memphis Grizzlies;116;Box Score;;17,222;;[2006, 3]
971;Fri, Mar 17, 2006;8:30p;Phoenix Suns;102;San Antonio Spurs;108;Box Score;;18,797;;[2006, 3]
972;Fri, Mar 17, 2006;10:30p;Philadelphia 76ers;89;LA Clippers;99;Box Score;;19,186;;[2006, 3]
973;Sat, Mar 18, 2006;2:00p;Miami Heat;85;Chicago Bulls;84;Box Score;;22,439;;[2006, 3]
974;Sat, Mar 18, 2006;7:30p;Detroit Pistons;108;Charlotte Hornets;103;Box Score;;19,026;;[2006, 3]
975;Sat, Mar 18, 2006;8:00p;Denver Nuggets;109;New Orleans Pelicans;94;Box Score;;17,912;at New Orleans, LA;[2006, 3]
976;Sat, Mar 18, 2006;8:30p;San Antonio Spurs;92;Houston Rockets;77;Box Score;;18,234;;[2006, 3]
977;Sat, Mar 18, 2006;8:30p;Portland Trail Blazers;93;Milwaukee Bucks;97;Box Score;;17,674;;[2006, 3]
978;Sun, Mar 19, 2006;1:00p;Los Angeles Lakers;95;Cleveland Cavaliers;96;Box Score;;20,562;;[2006, 3]
979;Sun, Mar 19, 2006;1:00p;Dallas Mavericks;89;Brooklyn Nets;100;Box Score;;18,883;;[2006, 3]
980;Sun, Mar 19, 2006;2:00p;Orlando Magic;107;Atlanta Hawks;108;Box Score;OT;14,614;;[2006, 3]
981;Sun, Mar 19, 2006;3:30p;Boston Celtics;103;Indiana Pacers;88;Box Score;;18,345;;[2006, 3]
982;Sun, Mar 19, 2006;3:30p;Sacramento Kings;89;Minnesota Timberwolves;95;Box Score;;18,207;;[2006, 3]
983;Sun, Mar 19, 2006;3:30p;Chicago Bulls;104;Washington Wizards;113;Box Score;;15,319;;[2006, 3]
984;Sun, Mar 19, 2006;4:00p;Philadelphia 76ers;89;Golden State Warriors;98;Box Score;;19,596;;[2006, 3]
985;Sun, Mar 19, 2006;4:00p;Utah Jazz;84;Memphis Grizzlies;90;Box Score;;14,116;;[2006, 3]
986;Sun, Mar 19, 2006;7:30p;Miami Heat;111;New York Knicks;100;Box Score;;19,763;;[2006, 3]
987;Mon, Mar 20, 2006;7:30p;Los Angeles Lakers;105;Boston Celtics;97;Box Score;;18,624;;[2006, 3]
988;Mon, Mar 20, 2006;7:30p;Atlanta Hawks;84;Detroit Pistons;91;Box Score;;22,076;;[2006, 3]
989;Mon, Mar 20, 2006;8:30p;LA Clippers;99;Houston Rockets;91;Box Score;;12,395;;[2006, 3]
990;Mon, Mar 20, 2006;10:00p;Milwaukee Bucks;100;Portland Trail Blazers;93;Box Score;;12,589;;[2006, 3]
991;Tue, Mar 21, 2006;7:00p;Brooklyn Nets;112;Washington Wizards;100;Box Score;;14,887;;[2006, 3]
992;Tue, Mar 21, 2006;7:30p;Orlando Magic;102;Charlotte Hornets;108;Box Score;;15,613;;[2006, 3]
993;Tue, Mar 21, 2006;7:30p;Toronto Raptors;114;New York Knicks;109;Box Score;;18,131;;[2006, 3]
994;Tue, Mar 21, 2006;8:00p;Houston Rockets;72;Dallas Mavericks;88;Box Score;;20,283;;[2006, 3]
995;Tue, Mar 21, 2006;8:00p;Indiana Pacers;75;Memphis Grizzlies;105;Box Score;;14,063;;[2006, 3]
996;Tue, Mar 21, 2006;8:00p;Miami Heat;96;Minnesota Timberwolves;100;Box Score;;17,927;;[2006, 3]
997;Tue, Mar 21, 2006;8:00p;LA Clippers;108;New Orleans Pelicans;120;Box Score;;16,799;at New Orleans, LA;[2006, 3]
998;Tue, Mar 21, 2006;8:30p;Golden State Warriors;96;San Antonio Spurs;107;Box Score;;18,797;;[2006, 3]
999;Tue, Mar 21, 2006;10:00p;Oklahoma City Thunder;96;Sacramento Kings;105;Box Score;;17,317;;[2006, 3]
1000;Tue, Mar 21, 2006;10:30p;Phoenix Suns;99;Utah Jazz;107;Box Score;;18,948;;[2006, 3]
1001;Wed, Mar 22, 2006;7:00p;Charlotte Hornets;118;Cleveland Cavaliers;120;Box Score;OT;18,55;;[2006, 3]
1002;Wed, Mar 22, 2006;7:00p;Chicago Bulls;85;Indiana Pacers;95;Box Score;;14,632;;[2006, 3]
1003;Wed, Mar 22, 2006;7:00p;New York Knicks;87;Orlando Magic;111;Box Score;;15,819;;[2006, 3]
1004;Wed, Mar 22, 2006;7:00p;Atlanta Hawks;106;Philadelphia 76ers;115;Box Score;;15,009;;[2006, 3]
1005;Wed, Mar 22, 2006;7:30p;Toronto Raptors;96;Boston Celtics;110;Box Score;;18,624;;[2006, 3]
1006;Wed, Mar 22, 2006;8:00p;Miami Heat;73;Detroit Pistons;82;Box Score;;22,076;;[2006, 3]
1007;Wed, Mar 22, 2006;10:00p;Milwaukee Bucks;105;Oklahoma City Thunder;114;Box Score;;15,231;;[2006, 3]
1008;Wed, Mar 22, 2006;10:30p;San Antonio Spurs;92;Denver Nuggets;104;Box Score;;17,455;;[2006, 3]
1009;Wed, Mar 22, 2006;10:30p;Sacramento Kings;80;Los Angeles Lakers;87;Box Score;;18,997;;[2006, 3]
1010;Thu, Mar 23, 2006;7:30p;Minnesota Timberwolves;82;Brooklyn Nets;86;Box Score;;15,952;;[2006, 3]
1011;Thu, Mar 23, 2006;8:00p;LA Clippers;85;Memphis Grizzlies;95;Box Score;;13,872;;[2006, 3]
1012;Thu, Mar 23, 2006;8:00p;Houston Rockets;93;New Orleans Pelicans;92;Box Score;;19,163;;[2006, 3]
1013;Thu, Mar 23, 2006;8:30p;Golden State Warriors;122;Dallas Mavericks;121;Box Score;;20,165;;[2006, 3]
1014;Thu, Mar 23, 2006;9:00p;Portland Trail Blazers;108;Phoenix Suns;125;Box Score;;18,422;;[2006, 3]
1015;Thu, Mar 23, 2006;9:00p;Washington Wizards;109;Utah Jazz;97;Box Score;;19,911;;[2006, 3]
1016;Fri, Mar 24, 2006;7:00p;Detroit Pistons;75;Indiana Pacers;72;Box Score;;18,345;;[2006, 3]
1017;Fri, Mar 24, 2006;7:00p;Orlando Magic;102;Philadelphia 76ers;86;Box Score;;20,315;;[2006, 3]
1018;Fri, Mar 24, 2006;7:00p;Minnesota Timberwolves;77;Toronto Raptors;97;Box Score;;17,493;;[2006, 3]
1019;Fri, Mar 24, 2006;7:30p;Boston Celtics;82;Cleveland Cavaliers;94;Box Score;;20,562;;[2006, 3]
1020;Fri, Mar 24, 2006;7:30p;Charlotte Hornets;93;Miami Heat;114;Box Score;;20,146;;[2006, 3]
1021;Fri, Mar 24, 2006;7:30p;Memphis Grizzlies;91;New York Knicks;75;Box Score;;19,763;;[2006, 3]
1022;Fri, Mar 24, 2006;8:30p;New Orleans Pelicans;82;Chicago Bulls;96;Box Score;;21,793;;[2006, 3]
1023;Fri, Mar 24, 2006;9:00p;Oklahoma City Thunder;104;Denver Nuggets;117;Box Score;;19,099;;[2006, 3]
1024;Fri, Mar 24, 2006;10:00p;San Antonio Spurs;98;Portland Trail Blazers;79;Box Score;;17,018;;[2006, 3]
1025;Fri, Mar 24, 2006;10:30p;Milwaukee Bucks;96;Los Angeles Lakers;101;Box Score;;18,745;;[2006, 3]
1026;Sat, Mar 25, 2006;3:30p;Washington Wizards;101;LA Clippers;116;Box Score;;17,655;;[2006, 3]
1027;Sat, Mar 25, 2006;7:00p;Dallas Mavericks;98;Atlanta Hawks;83;Box Score;;18,729;;[2006, 3]
1028;Sat, Mar 25, 2006;9:00p;Denver Nuggets;96;Phoenix Suns;107;Box Score;;18,422;;[2006, 3]
1029;Sat, Mar 25, 2006;9:00p;Sacramento Kings;91;Utah Jazz;89;Box Score;;17,867;;[2006, 3]
1030;Sun, Mar 26, 2006;1:00p;Philadelphia 76ers;79;Indiana Pacers;92;Box Score;;17,513;;[2006, 3]
1031;Sun, Mar 26, 2006;3:30p;Toronto Raptors;116;Milwaukee Bucks;125;Box Score;OT;16,317;;[2006, 3]
1032;Sun, Mar 26, 2006;3:30p;New York Knicks;94;Minnesota Timberwolves;98;Box Score;;16,201;;[2006, 3]
1033;Sun, Mar 26, 2006;4:00p;Chicago Bulls;101;Boston Celtics;97;Box Score;;18,624;;[2006, 3]
1034;Sun, Mar 26, 2006;4:00p;Cleveland Cavaliers;104;Houston Rockets;102;Box Score;OT;16,839;;[2006, 3]
1035;Sun, Mar 26, 2006;4:00p;Charlotte Hornets;95;Memphis Grizzlies;102;Box Score;;17,328;;[2006, 3]
1036;Sun, Mar 26, 2006;6:00p;Atlanta Hawks;101;Orlando Magic;108;Box Score;;16,191;;[2006, 3]
1037;Sun, Mar 26, 2006;7:30p;Brooklyn Nets;79;Detroit Pistons;74;Box Score;;22,076;;[2006, 3]
1038;Sun, Mar 26, 2006;9:00p;LA Clippers;97;Portland Trail Blazers;83;Box Score;;15,345;;[2006, 3]
1039;Sun, Mar 26, 2006;9:00p;Golden State Warriors;90;Sacramento Kings;83;Box Score;;17,317;;[2006, 3]
1040;Sun, Mar 26, 2006;9:00p;San Antonio Spurs;102;Oklahoma City Thunder;106;Box Score;;16,861;;[2006, 3]
1041;Sun, Mar 26, 2006;9:30p;New Orleans Pelicans;94;Los Angeles Lakers;105;Box Score;;18,997;;[2006, 3]
1042;Mon, Mar 27, 2006;7:30p;Indiana Pacers;91;Miami Heat;96;Box Score;;20,204;;[2006, 3]
1043;Mon, Mar 27, 2006;7:30p;Phoenix Suns;72;Brooklyn Nets;110;Box Score;;18,467;;[2006, 3]
1044;Mon, Mar 27, 2006;9:00p;New Orleans Pelicans;80;Utah Jazz;104;Box Score;;17,437;;[2006, 3]
1045;Mon, Mar 27, 2006;10:30p;Washington Wizards;116;Golden State Warriors;98;Box Score;;17,158;;[2006, 3]
1046;Tue, Mar 28, 2006;7:30p;Atlanta Hawks;117;Charlotte Hornets;125;Box Score;;14,762;;[2006, 3]
1047;Tue, Mar 28, 2006;7:30p;Dallas Mavericks;90;Detroit Pistons;97;Box Score;;22,076;;[2006, 3]
1048;Tue, Mar 28, 2006;8:00p;Oklahoma City Thunder;98;Memphis Grizzlies;97;Box Score;;14,691;;[2006, 3]
1049;Tue, Mar 28, 2006;8:00p;Phoenix Suns;110;Milwaukee Bucks;132;Box Score;;15,573;;[2006, 3]
1050;Tue, Mar 28, 2006;8:30p;Orlando Magic;97;Chicago Bulls;93;Box Score;;21,838;;[2006, 3]
1051;Tue, Mar 28, 2006;10:00p;Washington Wizards;97;Sacramento Kings;84;Box Score;;17,317;;[2006, 3]
1052;Tue, Mar 28, 2006;10:30p;San Antonio Spurs;98;LA Clippers;87;Box Score;;17,978;;[2006, 3]
1053;Wed, Mar 29, 2006;7:00p;Indiana Pacers;93;Atlanta Hawks;94;Box Score;;13,955;;[2006, 3]
1054;Wed, Mar 29, 2006;7:00p;Dallas Mavericks;94;Cleveland Cavaliers;107;Box Score;;19,401;;[2006, 3]
1055;Wed, Mar 29, 2006;7:00p;Miami Heat;98;Toronto Raptors;94;Box Score;;19,973;;[2006, 3]
1056;Wed, Mar 29, 2006;7:30p;Memphis Grizzlies;74;Brooklyn Nets;86;Box Score;;16,455;;[2006, 3]
1057;Wed, Mar 29, 2006;7:30p;Boston Celtics;123;New York Knicks;98;Box Score;;19,763;;[2006, 3]
1058;Wed, Mar 29, 2006;7:30p;Detroit Pistons;101;Philadelphia 76ers;91;Box Score;;18,022;;[2006, 3]
1059;Wed, Mar 29, 2006;8:00p;Orlando Magic;91;Minnesota Timberwolves;103;Box Score;;15,142;;[2006, 3]
1060;Wed, Mar 29, 2006;8:30p;Oklahoma City Thunder;87;Houston Rockets;115;Box Score;;13,18;;[2006, 3]
1061;Wed, Mar 29, 2006;10:00p;Utah Jazz;115;Denver Nuggets;104;Box Score;;16,476;;[2006, 3]
