Visitor;Home;Victory_V;GP_1;W_1;L_1;WIN%_1;MIN_1;FGM_1;FGA_1;FG%_1;3PM_1;3PA_1;3P%_1;FTM_1;FTA_1;FT%_1;OREB_1;DREB_1;REB_1;AST_1;TOV_1;STL_1;BLK_1;BLKA_1;PF_1;PFD_1;+/-_1;GP_2;W_2;L_2;WIN%_2;MIN_2;FGM_2;FGA_2;FG%_2;3PM_2;3PA_2;3P%_2;FTM_2;FTA_2;FT%_2;OREB_2;DREB_2;REB_2;AST_2;TOV_2;STL_2;BLK_2;BLKA_2;PF_2;PFD_2;+/-_2
Charlotte Hornets;Sacramento Kings;False;14.0;7.0;7.0;0.5;49.1;40.8;91.2;44.7;11.6;31.6;36.8;19.0;23.8;79.9;10.0;34.4;44.4;23.9;12.4;7.2;4.8;6.9;19.4;21.6;0.1;15.0;9.0;6.0;0.6;48.0;43.5;93.5;46.6;12.9;33.4;38.7;16.3;22.5;72.4;10.6;32.3;42.9;26.4;13.1;8.4;5.1;5.0;20.8;21.8;0.4
Chicago Bulls;Utah Jazz;False;14.0;5.0;9.0;0.357;48.0;37.0;82.9;44.6;8.0;23.7;33.7;13.6;17.7;77.0;8.0;33.6;41.6;20.0;15.9;8.6;4.6;4.6;21.1;17.4;-8.3;14.0;7.0;7.0;0.5;48.0;40.8;86.5;47.2;12.3;32.8;37.5;16.2;22.3;72.8;9.9;37.2;47.1;26.9;16.1;9.6;4.9;5.5;20.6;20.9;8.7
Philadelphia 76ers;New York Knicks;True;13.0;7.0;6.0;0.538;48.4;41.8;88.8;47.1;11.2;32.8;34.0;18.0;23.4;77.0;10.2;35.8;46.1;26.8;14.5;7.7;5.4;3.2;21.5;20.7;1.6;14.0;2.0;12.0;0.143;48.7;39.5;91.6;43.1;11.5;30.9;37.2;16.6;22.6;73.4;10.3;33.4;43.7;21.6;13.6;6.3;3.4;5.4;20.1;21.0;-12.4
Toronto Raptors;Washington Wizards;True;15.0;8.0;7.0;0.533;48.3;39.3;89.9;43.8;10.7;33.1;32.3;16.3;19.6;83.0;10.6;33.7;44.3;21.5;12.5;7.9;5.6;5.0;19.1;18.8;1.0;15.0;6.0;9.0;0.4;49.3;42.7;89.5;47.7;11.3;33.2;33.9;16.7;21.6;77.2;8.1;30.6;38.7;27.1;14.1;8.6;3.9;4.5;21.0;21.5;-2.7
Milwaukee Bucks;Atlanta Hawks;True;14.0;10.0;4.0;0.714;48.4;40.3;89.4;45.1;12.6;38.4;33.0;17.8;23.1;76.9;9.0;39.9;48.9;24.3;14.2;7.6;6.1;3.9;20.0;20.0;6.4;13.0;6.0;7.0;0.462;48.4;41.8;90.9;45.9;12.1;33.1;36.5;17.4;24.0;72.4;13.5;33.6;47.1;27.8;18.7;8.3;5.2;5.1;24.5;21.9;-4.6
Houston Rockets;Orlando Magic;False;15.0;11.0;4.0;0.733;48.0;37.5;83.8;44.7;15.2;42.6;35.7;20.2;26.1;77.5;10.8;32.8;43.6;20.8;14.3;7.1;4.3;5.1;22.5;20.6;4.4;13.0;5.0;8.0;0.385;48.8;36.6;86.5;42.3;10.9;31.4;34.8;14.9;19.2;77.9;9.7;34.8;44.5;21.3;14.8;5.8;5.0;5.2;19.5;19.0;-7.2
Golden State Warriors;Dallas Mavericks;True;15.0;10.0;5.0;0.667;48.3;41.7;89.7;46.4;13.0;34.5;37.7;18.5;22.5;82.2;9.5;36.7;46.2;28.1;14.3;7.5;6.0;3.4;21.5;20.5;3.9;16.0;7.0;9.0;0.438;48.3;38.3;85.9;44.6;11.7;34.3;34.1;22.3;29.8;74.8;10.9;36.2;47.1;22.6;15.9;7.3;4.1;4.3;19.4;24.8;-1.9
Portland Trail Blazers;Denver Nuggets;False;15.0;8.0;7.0;0.533;48.7;40.5;88.4;45.9;10.1;27.9;36.3;17.9;22.4;80.1;10.3;35.7;46.0;22.0;15.1;6.9;5.1;5.3;20.9;20.3;-0.9;12.0;8.0;4.0;0.667;48.4;40.3;87.7;46.0;11.3;31.2;36.4;17.0;22.6;75.3;12.1;33.8;45.8;27.8;14.7;8.3;4.5;4.9;19.4;19.7;0.6
Cleveland Cavaliers;Los Angeles Lakers;True;16.0;4.0;12.0;0.25;48.0;38.5;87.4;44.1;9.3;27.9;33.4;14.9;19.1;77.8;10.4;33.3;43.8;20.5;12.3;6.4;2.6;5.4;19.3;18.3;-10.1;15.0;8.0;7.0;0.533;48.0;43.4;89.7;48.4;12.1;34.0;35.5;15.9;23.5;67.4;9.3;37.5;46.8;25.6;15.0;7.8;4.6;5.1;18.2;20.9;3.7
Boston Celtics;Brooklyn Nets;False;14.0;9.0;5.0;0.643;48.7;42.6;90.9;46.9;13.9;37.7;36.7;18.1;21.9;82.4;10.3;34.0;44.3;26.6;12.8;9.5;5.3;4.1;20.6;20.9;7.9;15.0;9.0;6.0;0.6;49.0;39.7;85.7;46.3;12.1;32.7;37.1;20.1;26.7;75.3;10.1;35.4;45.5;24.7;15.3;6.5;3.7;4.7;20.5;22.1;0.1
Memphis Grizzlies;Houston Rockets;False;15.0;5.0;10.0;0.333;48.0;36.5;80.1;45.5;8.4;26.1;32.2;16.1;21.3;75.3;7.4;31.9;39.3;22.0;13.8;9.0;6.4;4.9;22.3;20.6;-3.8;15.0;11.0;4.0;0.733;48.0;37.5;83.8;44.7;15.2;42.6;35.7;20.2;26.1;77.5;10.8;32.8;43.6;20.8;14.3;7.1;4.3;5.1;22.5;20.6;4.4
Charlotte Hornets;San Antonio Spurs;True;14.0;7.0;7.0;0.5;49.1;40.8;91.2;44.7;11.6;31.6;36.8;19.0;23.8;79.9;10.0;34.4;44.4;23.9;12.4;7.2;4.8;6.9;19.4;21.6;0.1;16.0;11.0;5.0;0.688;48.0;44.3;86.5;51.2;10.1;23.8;42.4;16.9;20.3;83.4;7.8;36.4;44.1;26.2;11.9;6.7;4.9;4.1;18.1;19.2;10.3
